# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 60, mean observations per image: 1457.47
60 0.999968 0.00481944 -0.00592048 -0.00235277 0.0429181 0.221772 -6.07226 2 right/weimar_000141_000029_rightImg8bit.png
59 0.999969 0.00471945 -0.00547182 -0.00315568 0.0307548 0.204223 -5.6688 2 right/weimar_000141_000028_rightImg8bit.png
58 0.999969 0.004655 -0.00513174 -0.00382713 0.0201813 0.188359 -5.26758 2 right/weimar_000141_000027_rightImg8bit.png
57 0.999968 0.00458692 -0.0048899 -0.00446675 0.0102963 0.171723 -4.86163 2 right/weimar_000141_000026_rightImg8bit.png
56 0.999968 0.00441945 -0.00458552 -0.00483741 -5.06567e-05 0.154101 -4.45685 2 right/weimar_000141_000025_rightImg8bit.png
55 0.999969 0.0043353 -0.0042831 -0.00504559 -0.00950155 0.137441 -4.04921 2 right/weimar_000141_000024_rightImg8bit.png
54 0.999966 0.00442269 -0.00396592 -0.00568929 -0.0191455 0.121785 -3.6413 2 right/weimar_000141_000023_rightImg8bit.png
53 0.999961 0.00465544 -0.00372757 -0.00649385 -0.0283189 0.108363 -3.23155 2 right/weimar_000141_000022_rightImg8bit.png
52 0.999958 0.00499368 -0.00355441 -0.00687956 -0.036299 0.0962342 -2.82068 2 right/weimar_000141_000021_rightImg8bit.png
51 0.999953 0.00543548 -0.00327992 -0.00731594 -0.0446274 0.0829119 -2.40796 2 right/weimar_000141_000020_rightImg8bit.png
50 0.999948 0.00585577 -0.00301258 -0.00776558 -0.052871 0.0680448 -1.99519 2 right/weimar_000141_000019_rightImg8bit.png
49 0.999943 0.00629386 -0.00273091 -0.00820445 -0.061508 0.0540427 -1.57979 2 right/weimar_000141_000018_rightImg8bit.png
48 0.999936 0.00666917 -0.00252138 -0.0088285 -0.0698514 0.0388602 -1.16308 2 right/weimar_000141_000017_rightImg8bit.png
47 0.999929 0.00693363 -0.00248936 -0.00941902 -0.0773914 0.0226634 -0.745338 2 right/weimar_000141_000016_rightImg8bit.png
22 0.999959 0.00494646 -0.00343658 -0.00680394 0.128655 0.0954955 -2.82195 1 left/weimar_000141_000021_leftImg8bit.png
21 0.999954 0.00537834 -0.00318694 -0.00721279 0.121738 0.0821697 -2.40996 1 left/weimar_000141_000020_leftImg8bit.png
20 0.99995 0.00579711 -0.00289503 -0.00763212 0.111447 0.0678694 -1.99599 1 left/weimar_000141_000019_leftImg8bit.png
19 0.999944 0.0062366 -0.00265401 -0.00809761 0.105294 0.0534671 -1.58224 1 left/weimar_000141_000018_leftImg8bit.png
18 0.999937 0.00661206 -0.00246078 -0.00876512 0.0979053 0.0377843 -1.16563 1 left/weimar_000141_000017_leftImg8bit.png
17 0.99993 0.00685771 -0.00239587 -0.0093383 0.0887612 0.0214431 -0.749153 1 left/weimar_000141_000016_leftImg8bit.png
15 0.999921 0.00688888 -0.00303804 -0.0100378 0.0751537 -0.0114848 0.0871965 1 left/weimar_000141_000014_leftImg8bit.png
14 0.999918 0.00666431 -0.00346932 -0.0104102 0.0669784 -0.0270798 0.504877 1 left/weimar_000141_000013_leftImg8bit.png
13 0.999912 0.00634356 -0.00382838 -0.0109652 0.0559273 -0.0416482 0.92609 1 left/weimar_000141_000012_leftImg8bit.png
12 0.999905 0.00605826 -0.00415417 -0.0116751 0.0465346 -0.0561116 1.34167 1 left/weimar_000141_000011_leftImg8bit.png
11 0.999904 0.00569752 -0.0045606 -0.0118186 0.0382161 -0.0722494 1.75838 1 left/weimar_000141_000010_leftImg8bit.png
4 0.999924 0.00348167 -0.0062085 -0.0100437 -0.0191387 -0.163214 4.70604 1 left/weimar_000141_000003_leftImg8bit.png
3 0.999938 0.0025579 -0.00615258 -0.00892219 -0.0302096 -0.181164 5.5475 1 left/weimar_000141_000001_leftImg8bit.png
2 0.999931 0.00291028 -0.00619438 -0.00953382 -0.0248795 -0.171092 5.12662 1 left/weimar_000141_000002_leftImg8bit.png
1 0.999937 0.00247119 -0.00620884 -0.00898816 -0.0374003 -0.193799 5.96883 1 left/weimar_000141_000000_leftImg8bit.png
5 0.999925 0.00405913 -0.00612381 -0.00983343 -0.0112369 -0.153447 4.28475 1 left/weimar_000141_000004_leftImg8bit.png
6 0.999924 0.00456936 -0.00601823 -0.00976739 -0.00278636 -0.142067 3.86258 1 left/weimar_000141_000005_leftImg8bit.png
7 0.999921 0.00509154 -0.00592921 -0.0098605 0.0051275 -0.128869 3.43993 1 left/weimar_000141_000006_leftImg8bit.png
8 0.999917 0.00530421 -0.00576883 -0.0102162 0.0128067 -0.113494 3.01861 1 left/weimar_000141_000007_leftImg8bit.png
9 0.99991 0.00528505 -0.00540958 -0.0111239 0.0207354 -0.0979528 2.59699 1 left/weimar_000141_000008_leftImg8bit.png
10 0.999906 0.00534221 -0.00497779 -0.0116151 0.0292042 -0.0854711 2.17831 1 left/weimar_000141_000009_leftImg8bit.png
23 0.999962 0.0046031 -0.00364333 -0.00643465 0.137991 0.107256 -3.23346 1 left/weimar_000141_000022_leftImg8bit.png
24 0.999967 0.00436535 -0.00384232 -0.00562285 0.145229 0.12116 -3.64194 1 left/weimar_000141_000023_leftImg8bit.png
25 0.999969 0.00431435 -0.00419934 -0.00501046 0.157014 0.138087 -4.04964 1 left/weimar_000141_000024_leftImg8bit.png
26 0.999969 0.0043649 -0.00453388 -0.00468783 0.167158 0.153846 -4.45758 1 left/weimar_000141_000025_leftImg8bit.png
27 0.999969 0.0045249 -0.00481115 -0.00436216 0.176416 0.171301 -4.86315 1 left/weimar_000141_000026_leftImg8bit.png
28 0.99997 0.00459536 -0.00504626 -0.00374352 0.184998 0.187804 -5.26789 1 left/weimar_000141_000027_leftImg8bit.png
29 0.99997 0.00465812 -0.00536674 -0.00309732 0.195238 0.203087 -5.67078 1 left/weimar_000141_000028_leftImg8bit.png
30 0.999969 0.00475541 -0.00582403 -0.00226567 0.207512 0.220337 -6.07412 1 left/weimar_000141_000029_leftImg8bit.png
31 0.999936 0.0025687 -0.00626788 -0.00911557 -0.205447 -0.192578 5.97149 2 right/weimar_000141_000000_rightImg8bit.png
32 0.999936 0.00263731 -0.00622313 -0.00906247 -0.198032 -0.181248 5.55223 2 right/weimar_000141_000001_rightImg8bit.png
33 0.999929 0.00298457 -0.0062855 -0.00965636 -0.192191 -0.171372 5.13091 2 right/weimar_000141_000002_rightImg8bit.png
34 0.999922 0.00357141 -0.00627587 -0.0101937 -0.187021 -0.163338 4.70955 2 right/weimar_000141_000003_rightImg8bit.png
